date,average price,"
average temperature","
highest temperature","
Highest-lowest temperature","
choejeogion
lowest temperature","
Monthly precipitation","
highest humidity","
lowest humidity","
sunlight"
2018-08-13,6470,13.34,18.24,9.03,9.2,61.57,78.92,35.81,6.3
2018-08-14,6740,13.42,18.32,9.03,9.29,61.41,78.9,35.81,9.5
2018-08-15,6820,13.5,18.41,9.04,9.37,61.25,78.93,35.8,9.5
2018-08-16,7770,13.57,18.48,9.05,9.44,61.1,78.89,35.8,11
2018-08-17,7940,13.63,18.55,9.06,9.49,60.95,78.79,35.75,12.4
2018-08-18,7540,13.69,18.61,9.07,9.54,60.8,78.71,35.72,10.9
2018-08-19,6780,13.75,18.68,9.08,9.6,60.65,78.65,35.69,7.9
2018-08-20,6390,13.81,18.74,9.07,9.67,60.51,78.61,35.71,6
2018-08-21,6230,13.87,18.79,9.07,9.73,60.38,78.68,35.77,6.8
2018-08-22,5770,13.94,18.87,9.09,9.78,60.28,78.7,35.76,10.5
2018-08-23,5520,14.01,18.93,9.08,9.85,60.19,78.72,35.81,1.7
2018-08-24,5190,14.05,18.96,9.05,9.91,60.12,78.79,35.97,0
2018-08-25,5700,14.1,19.01,9.04,9.96,60.08,78.81,36.03,7.2
2018-08-26,5440,14.14,19.05,9.04,10.01,60.05,78.85,36.05,5.1
2018-08-27,5170,14.17,19.07,9.02,10.05,60.09,78.93,36.25,0
2018-08-28,5050,14.21,19.1,9,10.1,60.31,79.01,36.4,0
2018-08-29,5370,14.26,19.14,8.98,10.15,60.64,79.09,36.54,0.1
2018-08-30,5960,14.3,19.17,8.96,10.21,61.01,79.16,36.65,1.9
2018-08-31,7040,14.35,19.22,8.96,10.26,61.41,79.19,36.66,10.1
2018-09-01,7250,14.39,19.27,8.96,10.3,61.16,79.22,36.67,10.6
2018-09-02,6550,14.44,19.31,8.96,10.34,60.91,79.17,36.67,9.2
2018-09-03,6980,14.47,19.33,8.95,10.39,60.73,79.24,36.8,0
2018-09-04,8850,14.51,19.37,8.94,10.43,60.69,79.32,36.82,11
2018-09-05,11610,14.55,19.41,8.94,10.47,60.66,79.33,36.82,11.8
2018-09-06,14150,14.59,19.44,8.93,10.51,60.62,79.37,36.84,2.2
2018-09-07,14870,14.62,19.47,8.92,10.54,60.59,79.38,36.82,10.9
2018-09-08,16080,14.65,19.5,8.94,10.56,60.57,79.35,36.79,11.7
2018-09-09,17270,14.67,19.54,8.95,10.58,60.54,79.32,36.75,9.9
2018-09-10,15980,14.71,19.57,8.96,10.61,60.51,79.26,36.74,10.3
2018-09-11,15360,14.73,19.6,8.96,10.64,60.48,79.17,36.74,8.4
2018-09-12,13420,14.76,19.63,8.97,10.66,60.46,79.11,36.75,11.3
2018-09-13,10640,14.8,19.66,8.96,10.7,60.43,79.09,36.78,5
2018-09-14,7400,14.83,19.69,8.95,10.74,60.4,79.12,36.83,1.6
2018-09-15,5720,14.86,19.72,8.94,10.78,60.37,79.14,36.93,0.8
2018-09-16,3750,14.89,19.73,8.92,10.82,60.36,79.2,37.01,0
2018-09-17,3480,14.92,19.76,8.92,10.85,60.34,79.24,36.99,10.8
2018-09-18,2930,14.95,19.79,8.92,10.87,60.33,79.25,36.97,7.9
2018-09-19,2840,14.98,19.81,8.91,10.9,60.32,79.23,36.96,2.1
2018-09-20,3210,14.99,19.82,8.89,10.93,60.33,79.3,37.04,0
2018-09-21,3360,15.01,19.82,8.87,10.96,60.39,79.36,37.17,0.6
2018-09-22,3890,15.03,19.85,8.87,10.98,60.47,79.43,37.12,10.8
2018-09-23,4390,15.05,19.87,8.87,11,60.58,79.41,37.09,7.4
2018-09-24,4390,15.06,19.87,8.87,11.01,60.69,79.38,37.05,11
2018-09-25,4900,15.07,19.89,8.88,11.01,60.8,79.36,37,10
2018-09-26,5020,15.08,19.91,8.88,11.03,60.91,79.3,36.98,8.4
2018-09-27,6860,15.1,19.93,8.89,11.04,61.01,79.24,36.95,10.3
2018-09-28,8400,15.1,19.94,8.89,11.05,61.12,79.21,36.98,3.5
2018-09-29,8600,15.12,19.96,8.9,11.06,61.22,79.22,36.96,10.8
2018-09-30,9540,15.13,19.97,8.9,11.07,61.33,79.23,36.92,10.4
2018-10-01,8140,15.13,19.97,8.89,11.08,61.1,79.2,36.9,7.9
2018-10-02,7050,15.14,19.97,8.9,11.08,60.88,79.22,36.89,10.8
2018-10-03,6250,15.14,19.99,8.91,11.08,60.66,79.24,36.88,10.6
2018-10-04,5630,15.16,20.01,8.93,11.08,60.44,79.23,36.87,8.9
2018-10-05,4510,15.16,20.01,8.91,11.1,60.3,79.3,36.94,0
2018-10-06,3880,15.17,20.01,8.89,11.12,60.3,79.36,37.01,3
2018-10-07,3730,15.18,20.02,8.89,11.12,60.51,79.4,36.98,10.5
2018-10-08,3520,15.18,20.02,8.9,11.12,60.71,79.37,36.92,10.5
2018-10-09,3200,15.18,20.02,8.9,11.11,60.91,79.35,36.91,2.3
2018-10-10,3270,15.17,20.01,8.9,11.1,61.13,79.41,36.92,6.5
